gender,birth_year,product_id,quantity,total_price,ordered_at
MALE,1992,1,4,759712.00,2023-04-05 13:38:48
MALE,1998,1,4,759712.00,2024-05-26 06:32:01
FEMALE,2007,1,2,379856.00,2022-06-11 07:18:52
FEMALE,2004,1,5,949640.00,2023-03-02 05:53:17
MALE,1990,1,1,189928.00,2021-07-23 12:56:04
FEMALE,1994,1,1,189928.00,2023-03-24 02:38:34
MALE,2005,1,3,569784.00,2024-04-19 06:45:28
FEMALE,1985,1,4,759712.00,2024-02-17 16:49:57
FEMALE,2004,1,1,189928.00,2023-03-03 18:59:11
MALE,1986,1,1,189928.00,2022-04-02 06:36:49
FEMALE,1972,1,1,189928.00,2022-05-16 05:51:49
MALE,1979,1,4,759712.00,2022-08-26 13:42:12
MALE,1998,1,3,569784.00,2021-08-26 21:43:45
FEMALE,2009,1,5,949640.00,2023-05-07 17:01:34
MALE,1973,1,1,189928.00,2020-12-30 22:29:03
MALE,2002,1,1,189928.00,2022-05-08 04:21:11
FEMALE,2008,1,3,569784.00,2024-01-25 10:09:11
FEMALE,1970,1,2,379856.00,2022-08-29 14:14:22
FEMALE,1986,1,4,759712.00,2021-05-22 17:53:13
FEMALE,1997,1,5,949640.00,2024-04-25 07:56:54
MALE,1972,1,2,379856.00,2023-08-21 22:54:29
MALE,1997,1,5,949640.00,2023-03-07 20:58:10
MALE,1981,1,5,949640.00,2021-09-14 11:30:46
FEMALE,1999,1,3,569784.00,2021-03-02 19:36:21
FEMALE,1999,1,5,949640.00,2021-03-02 19:36:21
MALE,1974,1,2,379856.00,2022-09-18 02:24:46
MALE,1990,1,1,189928.00,2023-02-23 11:46:15
FEMALE,1979,1,5,949640.00,2021-01-07 15:04:55
MALE,1972,1,2,379856.00,2024-01-06 20:33:10
MALE,1990,1,2,379856.00,2021-08-21 05:43:09
FEMALE,1982,1,1,189928.00,2023-12-12 21:52:40
MALE,1978,1,3,569784.00,2021-01-11 00:49:49
FEMALE,1970,1,3,569784.00,2021-02-14 23:36:29
FEMALE,1996,1,4,759712.00,2021-11-12 01:55:19
MALE,1998,1,2,379856.00,2020-09-07 02:09:34
FEMALE,1985,1,5,949640.00,2023-10-07 12:05:15
MALE,1972,1,3,569784.00,2024-03-18 14:46:51
MALE,2003,1,2,379856.00,2022-08-07 10:56:30
MALE,1972,1,4,759712.00,2024-03-17 04:51:15
MALE,1992,1,4,759712.00,2022-03-21 12:46:06
FEMALE,2010,1,5,949640.00,2023-02-08 13:06:41
FEMALE,1982,1,1,189928.00,2023-12-12 01:36:10
MALE,1972,1,4,759712.00,2024-04-23 04:22:41
MALE,2008,1,1,189928.00,2023-07-21 08:49:25
FEMALE,1971,1,5,949640.00,2023-05-08 02:28:00
FEMALE,2008,1,2,379856.00,2020-12-30 01:27:44
MALE,2003,1,3,569784.00,2022-07-01 06:57:18
FEMALE,2004,1,2,379856.00,2023-05-06 14:18:40
MALE,1991,1,1,189928.00,2024-02-19 10:19:47
MALE,1994,1,4,759712.00,2024-01-12 23:13:59
MALE,1985,1,3,569784.00,2022-12-24 13:16:41
FEMALE,1997,1,3,569784.00,2023-12-14 23:05:15
MALE,1970,1,5,949640.00,2022-08-06 09:08:09
FEMALE,1978,1,2,379856.00,2022-04-19 23:56:59
MALE,2006,1,2,379856.00,2023-10-06 04:08:45
MALE,1983,1,2,379856.00,2021-02-20 21:30:51
MALE,2008,1,5,949640.00,2021-01-11 11:32:34
MALE,1981,1,2,379856.00,2022-02-12 21:00:27
FEMALE,2007,1,3,569784.00,2024-05-03 10:19:09
FEMALE,2008,1,5,949640.00,2023-09-28 06:48:19
MALE,2008,1,2,379856.00,2021-11-15 03:39:56
MALE,1991,1,2,379856.00,2024-04-06 05:06:18
MALE,1990,1,4,759712.00,2023-05-28 11:25:41
FEMALE,1972,1,5,949640.00,2024-02-24 22:42:48
MALE,2004,1,2,379856.00,2023-05-30 19:33:46
FEMALE,2003,1,1,189928.00,2021-11-30 08:33:42
MALE,1973,1,1,189928.00,2023-01-29 12:14:56
FEMALE,1978,1,5,949640.00,2023-03-29 17:00:01
MALE,1989,1,4,759712.00,2022-11-02 15:21:15
MALE,1997,1,2,379856.00,2022-08-23 13:44:23
FEMALE,1993,1,1,189928.00,2023-09-06 17:44:56
MALE,1978,1,1,189928.00,2021-09-02 17:02:29
MALE,1998,1,3,569784.00,2024-05-26 15:21:22
FEMALE,1983,1,3,569784.00,2023-10-05 09:31:08
FEMALE,1986,1,3,569784.00,2022-01-10 05:20:29
FEMALE,1983,1,2,379856.00,2023-11-12 18:28:11
MALE,1978,1,4,759712.00,2021-01-13 01:28:21
FEMALE,1994,1,2,379856.00,2022-10-09 02:02:02
MALE,2006,1,3,569784.00,2023-10-19 05:02:52
MALE,1973,1,1,189928.00,2021-05-18 08:31:39
FEMALE,1981,1,1,189928.00,2021-09-23 09:17:20
FEMALE,1982,1,3,569784.00,2024-02-04 20:12:37
MALE,2005,1,5,949640.00,2021-05-24 08:27:12
MALE,1997,1,4,759712.00,2022-08-14 08:22:13
MALE,1997,1,4,759712.00,2022-08-14 08:22:13
MALE,1998,1,3,569784.00,2024-05-15 14:46:55
MALE,2001,1,4,759712.00,2020-12-19 06:28:33
FEMALE,1983,1,4,759712.00,2024-06-24 06:07:09
MALE,1979,1,5,949640.00,2023-01-12 18:15:56
FEMALE,1986,1,3,569784.00,2021-04-22 16:33:14
FEMALE,1991,1,3,569784.00,2024-04-21 01:44:10
MALE,2008,1,1,189928.00,2024-05-06 20:03:31
FEMALE,1970,1,4,759712.00,2024-02-15 03:45:28
MALE,2001,1,4,759712.00,2021-10-09 00:19:12
MALE,1973,1,1,189928.00,2021-05-09 09:56:05
FEMALE,1996,1,5,949640.00,2021-11-06 20:58:01
MALE,1996,1,2,379856.00,2024-04-04 08:59:08
MALE,1998,1,4,759712.00,2024-05-24 06:37:04
FEMALE,1978,1,3,569784.00,2023-12-07 07:21:02
MALE,1992,1,4,759712.00,2023-10-02 08:35:10
FEMALE,1982,1,4,759712.00,2023-09-12 22:13:38
FEMALE,2004,1,5,949640.00,2023-06-01 14:08:37
FEMALE,2004,1,2,379856.00,2023-06-01 14:08:37
FEMALE,1986,1,2,379856.00,2021-12-24 16:09:39
MALE,2008,1,2,379856.00,2021-11-25 03:51:23
FEMALE,1982,1,1,189928.00,2023-03-01 22:26:04
MALE,1990,1,3,569784.00,2021-07-01 15:24:23
MALE,2002,1,1,189928.00,2022-05-02 06:51:32
FEMALE,1981,1,3,569784.00,2020-07-07 17:34:07
FEMALE,2010,1,2,379856.00,2023-08-01 13:28:20
MALE,1994,1,2,379856.00,2024-03-10 05:38:59
MALE,1997,1,5,949640.00,2023-06-01 19:33:00
MALE,1996,1,2,379856.00,2024-04-04 17:50:54
MALE,1988,1,4,759712.00,2023-06-13 17:03:41
MALE,2002,1,2,379856.00,2022-05-07 09:57:31
FEMALE,1993,1,4,759712.00,2023-09-05 14:49:55
MALE,2006,1,4,759712.00,2023-08-25 14:37:22
MALE,1988,1,2,379856.00,2023-07-17 23:14:19
FEMALE,2007,1,4,759712.00,2024-04-01 12:26:12
FEMALE,1985,1,3,569784.00,2023-12-13 09:01:32
MALE,1989,1,1,189928.00,2022-10-21 23:51:37
MALE,2008,1,4,759712.00,2024-05-08 04:56:30
MALE,1974,1,2,379856.00,2022-11-14 16:40:55
FEMALE,2008,1,3,569784.00,2020-05-05 15:47:45
FEMALE,2004,1,1,189928.00,2021-03-31 06:31:51
MALE,2008,1,2,379856.00,2024-02-08 00:53:08
FEMALE,1982,1,1,189928.00,2021-08-26 21:10:07
MALE,1998,1,1,189928.00,2021-05-11 05:50:54
FEMALE,1992,1,3,569784.00,2024-02-13 22:17:52
FEMALE,1974,1,2,379856.00,2021-11-15 09:59:56
FEMALE,2001,1,3,569784.00,2022-03-13 21:31:01
MALE,2008,1,5,949640.00,2023-01-04 14:20:58
FEMALE,1995,1,4,759712.00,2021-10-29 07:50:17
FEMALE,1981,1,3,569784.00,2021-02-22 20:36:10
FEMALE,1981,1,5,949640.00,2021-02-22 20:36:10
FEMALE,1994,1,1,189928.00,2023-02-16 23:01:44
FEMALE,1977,1,4,759712.00,2022-02-05 10:33:37
FEMALE,1990,1,4,759712.00,2024-03-29 17:53:26
FEMALE,1997,1,4,759712.00,2023-11-02 02:47:51
MALE,1974,1,5,949640.00,2022-09-15 07:25:35
FEMALE,2003,1,3,569784.00,2022-01-23 10:51:48
MALE,1978,1,3,569784.00,2021-09-04 03:35:43
FEMALE,1995,1,1,189928.00,2021-11-09 20:55:33
MALE,1979,1,1,189928.00,2023-07-07 02:03:40
MALE,1990,1,1,189928.00,2024-07-07 16:52:27
MALE,1990,1,5,949640.00,2021-08-31 10:06:16
FEMALE,1996,1,1,189928.00,2021-11-16 08:42:58
MALE,1973,1,5,949640.00,2020-12-11 21:43:25
FEMALE,1971,1,3,569784.00,2023-12-22 13:01:09
MALE,1992,1,2,379856.00,2023-07-04 21:10:07
FEMALE,1979,1,4,759712.00,2021-01-19 13:38:26
FEMALE,2007,1,1,189928.00,2024-04-27 07:21:53
FEMALE,1996,1,4,759712.00,2021-11-06 04:18:43
MALE,2008,1,2,379856.00,2024-05-04 11:20:56
